,TPR@1%FPR,,,,,,TPR@0.1%FPR,,,,,,Bit Acc,,,,,,AUROC,,,,,,folder path of watermarked imgs,folder path of csv (encoding),folder path of csv (decoding)
,60,80,100,120,140,,60,80,100,120,140,,60,80,100,120,140,,60,80,100,120,140,,,,
MBRS,1,1,1,1,1,,1,1,1,1,0.999,,0.999167,0.9985,0.998233333,0.9963,0.9944,,1,1,1,1,0.9999985,,,,
CIN,0.896,0.828,0.778,0.738,0.675,,0.777,0.667,0.6,0.513,0.46,,0.8584,0.8289,0.810733333,0.788533333,0.7676,,0.993997,0.9876525,0.982616,0.9767075,0.966863,,,,
PIMoG,0.997,0.998,0.993,0.97,0.955,,0.996,0.991,0.981,0.95,0.916,,0.963733333,0.941233333,0.9185,0.890733333,0.866866667,,0.999887,0.999935,0.9991715,0.9982375,0.997838,,,,
RivaGAN,0.438,0.376,0.297,0.266,0.216,,0.186,0.126,0.078,0.059,0.057,,0.6783125,0.66140625,0.64590625,0.63021875,0.61971875,,0.9289005,0.9112145,0.8936915,0.8688445,0.848343,,,,
SepMark,0.941,0.92,0.88,0.827,0.804,,0.909,0.872,0.829,0.765,0.721,,0.9238,0.905633333,0.8854,0.863366667,0.844966667,,0.997777,0.995573,0.9924575,0.989433,0.9872985,,,,
TrustMark,0.661,0.442,0.284,0.196,0.121,,0.593,0.372,0.224,0.125,0.078,,0.67976,0.62644,0.59403,0.57368,0.55561,,0.9360345,0.8701355,0.8044035,0.754722,0.689559,,,,
DWTDCT,0.007,0.002,0.001,0.001,0.006,,0,0,0,0,0.001,,0.490733333,0.490466667,0.488833333,0.489366667,0.4911,,0.503517,0.5076335,0.499008,0.5034015,0.509663,,,,
DWTDCTSVD,0.162,0.092,0.078,0.039,0.035,,0.116,0.067,0.049,0.028,0.022,,0.589333333,0.567433333,0.552433333,0.5355,0.5247,,0.723463,0.680348,0.6462675,0.603775,0.565716,,,,
SSL,0.262,0.192,0.109,0.071,0.054,,0.084,0.042,0.02,0.013,0.005,,0.658133333,0.6299,0.605666667,0.585333333,0.570333333,,0.9128155,0.8721895,0.836436,0.793501,0.7642875,,,,
StegaStamp,1,1,0.999,0.999,0.993,,1,1,0.997,0.999,0.984,,0.923,0.891,0.859,0.826,0.796,,1,1,0.9999825,0.9999295,0.9998315,,,,
EditGuard,0.009,0.006,0.008,0.009,0.008,,0,0.001,0.003,0.001,0.001,,0.495469,0.492938,0.495234,0.496625,0.4935,,0.494782,0.482844,0.492434,0.499489,0.485295,,,,
VINE-R,1,1,1,1,1,,1,1,1,0.999,1,,0.953,0.9404,0.9258,0.9099,0.8964,,1,1,1,1,1,,,,
VINE-B,1,1,1,0.998,0.997,,0.992,0.99,0.981,0.961,0.949,,0.8998,0.8828,0.8634,0.8461,0.8273,,1,1,1,0.9999,0.9999,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TPR@1%FPR,,,,,,TPR@0.1%FPR,,,,,,Bit Acc,,,,,,AUROC,,,,,,,,
,160,180,200,220,240,,160,180,200,220,240,,160,180,200,220,240,,160,180,200,220,240,,,,
MBRS,1,1,1,0.999,0.991,,0.998,0.997,0.995,0.989,0.976,,0.9906,0.9843,0.979433333,0.9712,0.959633333,,0.9999925,0.9999955,0.9999835,0.999925,0.9993895,,,,
CIN,0.595,0.564,0.486,0.423,0.366,,0.41,0.327,0.307,0.231,0.193,,0.7492,0.7339,0.717133333,0.696633333,0.682533333,,0.9547985,0.947881,0.932194,0.919046,0.908917,,,,
PIMoG,0.914,0.865,0.784,0.724,0.651,,0.865,0.795,0.689,0.589,0.513,,0.840533333,0.818433333,0.7902,0.7674,0.75,,0.994979,0.989202,0.981442,0.9773685,0.9668435,,,,
RivaGAN,0.18,0.158,0.115,0.105,0.071,,0.035,0.032,0.016,0.018,0.015,,0.60940625,0.596,0.58553125,0.5736875,0.5624375,,0.8343935,0.802043,0.7835035,0.7579205,0.732235,,,,
SepMark,0.62,0.592,0.517,0.448,0.402,,0.526,0.465,0.387,0.353,0.294,,0.783033333,0.769333333,0.7498,0.734333333,0.7211,,0.9683785,0.9589575,0.9514415,0.939005,0.9338005,,,,
TrustMark,0.078,0.052,0.04,0.027,0.019,,0.037,0.027,0.024,0.012,0.01,,0.54884,0.53935,0.52865,0.52748,0.52648,,0.673977,0.6324595,0.57717,0.5736835,0.5723635,,,,
DWTDCT,0.003,0.008,0.006,0.003,0.004,,0.002,0.003,0.001,0.001,0.001,,0.4882,0.489066667,0.491066667,0.489666667,0.489366667,,0.493375,0.4985505,0.50851,0.50385,0.5033555,,,,
DWTDCTSVD,0.022,0.019,0.016,0.009,0.009,,0.007,0.01,0.006,0.005,0.002,,0.522433333,0.514333333,0.510033333,0.505366667,0.505633333,,0.569778,0.5430455,0.5214865,0.5116545,0.5153995,,,,
SSL,0.031,0.028,0.023,0.023,0.013,,0.001,0.003,0.004,0.002,0.002,,0.555833333,0.547566667,0.537433333,0.535866667,0.529266667,,0.728216,0.7065665,0.6776615,0.673793,0.657126,,,,
StegaStamp,0.993,0.963,0.935,0.888,0.815,,0.972,0.907,0.853,0.766,0.631,,0.772,0.743,0.719,0.7,0.675,,0.999857,0.997573,0.996567,0.993665,0.985014,,,,
EditGuard,0.012,0.002,0.005,0.012,0.006,,0,0,0,0.001,0.002,,0.497406,0.494734,0.497172,0.497203,0.497891,,0.500687,0.4936,0.503585,0.502384,0.506667,,,,
VINE-R,1,1,1,1,0.998,,0.999,0.999,0.997,0.994,0.978,,0.8776,0.8622,0.8487,0.8294,0.8154,,1,1,1,1,0.9999,,,,
VINE-B,0.997,0.992,0.988,0.977,0.967,,0.919,0.898,0.865,0.807,0.741,,0.8101,0.7966,0.7826,0.7639,0.7507,,0.9998,0.9996,0.9995,0.9992,0.9982,,,,