SVDxt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TPR@1%FPR,,,,,,,,TPR@0.1%FPR,,,,,,,,Bit Acc,,,,,,,,AUROC,,,,,,,folder path of watermarked imgs,folder path of csv (encoding),folder path of csv (decoding)
,frame 7,frame 9,frame 11,frame 13,frame 15,frame 17,frame 19,,frame 7,frame 9,frame 11,frame 13,frame 15,frame 17,frame 19,,frame 7,frame 9,frame 11,frame 13,frame 15,frame 17,frame 19,,frame 7,frame 9,frame 11,frame 13,frame 15,frame 17,frame 19,,,
MBRS,0.184,0.182,0.148,0.146,0.144,0.135,0.145,,0.16,0.154,0.127,0.124,0.119,0.111,0.122,,0.615333333,0.6175,0.6001,0.597166667,0.5981,0.593,0.593733333,,0.643617,0.650441,0.6188565,0.615051,0.620946,0.6085,0.608612,,,
CIN,0.048,0.043,0.043,0.045,0.04,0.048,0.043,,0.03,0.027,0.027,0.026,0.029,0.027,0.027,,0.511666667,0.509533333,0.5153,0.5106,0.507566667,0.5085,0.514166667,,0.536191,0.5357425,0.549626,0.5333495,0.5257055,0.5281925,0.5486425,,,
PIMoG,0.219,0.194,0.185,0.162,0.146,0.142,0.142,,0.176,0.145,0.144,0.131,0.115,0.11,0.107,,0.559566667,0.560066667,0.565566667,0.558233333,0.545733333,0.542566667,0.546933333,,0.568318,0.579975,0.593812,0.575598,0.553115,0.546568,0.555906,,,
RivaGAN,0.104,0.09,0.083,0.066,0.081,0.055,0.059,,0.042,0.036,0.029,0.028,0.026,0.019,0.017,,0.56790625,0.55609375,0.54875,0.5460625,0.54165625,0.53603125,0.53296875,,0.7118125,0.680077,0.6596255,0.656545,0.642472,0.6334815,0.623563,,,
SepMark,0.117,0.104,0.105,0.096,0.103,0.089,0.09,,0.1,0.083,0.083,0.084,0.086,0.083,0.078,,0.5567,0.552,0.549066667,0.546333333,0.5509,0.5401,0.546833333,,0.5726025,0.565088,0.5599685,0.553053,0.563958,0.538987,0.5585895,,,
Trustmark,0.563,0.46,0.388,0.323,0.275,0.253,0.213,,0.5,0.399,0.335,0.27,0.222,0.195,0.163,,0.68706,0.65305,0.63188,0.60768,0.59674,0.58322,0.57603,,0.8297535,0.786875,0.761307,0.707994,0.7071255,0.667794,0.6634605,,,
DWTDCT,0.014,0.015,0.011,0.009,0.016,0.006,0.017,,0,0,0,0,0,0,0.001,,0.492766667,0.4919,0.490933333,0.4901,0.4911,0.490633333,0.493866667,,0.5011025,0.4981275,0.4950055,0.487449,0.493688,0.497439,0.5057745,,,
DWTDCTSVD,0.018,0.019,0.022,0.017,0.02,0.019,0.03,,0.008,0.005,0.006,0.011,0.009,0.008,0.009,,0.497533333,0.496266667,0.501433333,0.495533333,0.499933333,0.496,0.499533333,,0.4810305,0.476996,0.497248,0.4771685,0.492034,0.479052,0.4896,,,
SSL,0.248,0.198,0.169,0.139,0.115,0.117,0.11,,0.057,0.045,0.032,0.022,0.021,0.023,0.021,,0.640133333,0.6235,0.615466667,0.599733333,0.5945,0.5865,0.5801,,0.859979,0.836904,0.830132,0.794725,0.790577,0.7691015,0.7536925,,,
StegaStamp,0.4,0.336,0.319,0.301,0.266,0.247,0.245,,0.377,0.321,0.306,0.284,0.254,0.234,0.224,,0.644,0.622,0.621,0.61,0.598,0.592,0.594,,0.714189,0.687911,0.7021255,0.682584,0.670931,0.6697525,0.6754475,,,
EditGuard,0.008,0.011,0.01,0.008,0.013,0.012,0.012,,0.003,0.003,0.002,0.002,0.001,0.001,0.002,,0.5014375,0.497328125,0.49865625,0.50059375,0.5008125,0.50115625,0.504484375,,0.498069,0.476192,0.4827975,0.4932825,0.490947,0.497764,0.510918,,,
VINE-R,0.421,0.418,0.412,0.413,0.408,0.408,0.413,,0.366,0.374,0.364,0.348,0.357,0.353,0.354,,0.6558,0.6563,0.6568,0.6545,0.6531,0.6542,0.6529,,0.7663,0.7652,0.7821,0.772,0.7639,0.7788,0.7666,,,
VINE-B,0.29,0.284,0.27,0.273,0.267,0.267,0.279,,0.268,0.258,0.247,0.252,0.24,0.242,0.243,,0.6043,0.6014,0.6015,0.5964,0.5964,0.5977,0.5989,,0.7164,0.7061,0.7221,0.6943,0.6978,0.7091,0.7108,,,